url,price,low_price,high_price
https://www.amazon.com/Tillman-Welding-Gloves-Size-Medium/dp/B000LPMU66/ref=sr_1_41?dib=eyJ2IjoiMSJ9.ifQcDGIZ5bcHKA8M3meo51ycSKXUhwVFa6R-2HxTLxRzdduVGsSPoZtu6F-lj4ggIohK1Ycqo5g4XATorBr6iOvxjLtrh_4nxl_HxkuaHnXOziIgBM6Fd8jaI6ZjU5BSLxBOAhc_S_srbs-ss0E7iyHf-6Kb1YaG9xZKfgeEp4qfOk-4GEeZR5SW8wQ-0ioINv2mPd_kKs8g3nYpppk9TBXWzxpIlCTYe-c0sBDeZH0SaNA7F4mYSelNQo6lXueS5MCahlnldcDU2C8XIpnYZfdat3HGinweIuUoYd6BUAw.7MfsYJSBJtBaL7g5D12RTtbbD6dvP3usuvA4m0YqtRs&dib_tag=se&keywords=welding+gloves&qid=1730649554&sr=8-41,36.0,29.0,45.0
https://www.amazon.com/Miller-269615-Armor-Welding-2X-Large/dp/B07DX52C6L/ref=sr_1_42?dib=eyJ2IjoiMSJ9.ifQcDGIZ5bcHKA8M3meo51ycSKXUhwVFa6R-2HxTLxRzdduVGsSPoZtu6F-lj4ggIohK1Ycqo5g4XATorBr6iOvxjLtrh_4nxl_HxkuaHnXOziIgBM6Fd8jaI6ZjU5BSLxBOAhc_S_srbs-ss0E7iyHf-6Kb1YaG9xZKfgeEp4qfOk-4GEeZR5SW8wQ-0ioINv2mPd_kKs8g3nYpppk9TBXWzxpIlCTYe-c0sBDeZH0SaNA7F4mYSelNQo6lXueS5MCahlnldcDU2C8XIpnYZfdat3HGinweIuUoYd6BUAw.7MfsYJSBJtBaL7g5D12RTtbbD6dvP3usuvA4m0YqtRs&dib_tag=se&keywords=welding+gloves&qid=1730649554&sr=8-42,60.0,55.0,81.0
https://www.amazon.com/Tillman-Grain-Pigskin-Welding-Gloves/dp/B01N0HDUXK/ref=sr_1_82?dib=eyJ2IjoiMSJ9.Wr8hBnBJQQoDhVw4a1OFkgM8R0o_s4-vhiF73V2EF13nGAr5e7fWrbKqysdbiPlelFN9khsegFyLnTf_PCTxVARHmwXmmQ9HGql2WlEER0_aNq70BP09eoTaOHSiCw1t_l5wL599Jux6cBX3yIGTwTt6CXucfHeE5jJ2xvPwY0DEDPWCtDE7XvT-KOmdg8-slNwLqiRtj14d-5Wxd29-vvqUjPtEoNXKzXSE5dvWetLjQ9j7PhWD7cH2XsTNi6T2yP40hyKddxKOcJiFEc5sr5j7SmX_9RLHjb0XqP2CRa0.WHakhWGUT2QKpTJaoKLYTYoDX_tcGMA4JhlPY09x9uo&dib_tag=se&keywords=welding+gloves&qid=1730649559&sr=8-82,26.0,20.0,20.0
https://www.amazon.com/John-Tillman-Co-Straight-Stitching/dp/B00ZRYPHZC/ref=sr_1_84?dib=eyJ2IjoiMSJ9.Wr8hBnBJQQoDhVw4a1OFkgM8R0o_s4-vhiF73V2EF13nGAr5e7fWrbKqysdbiPlelFN9khsegFyLnTf_PCTxVARHmwXmmQ9HGql2WlEER0_aNq70BP09eoTaOHSiCw1t_l5wL599Jux6cBX3yIGTwTt6CXucfHeE5jJ2xvPwY0DEDPWCtDE7XvT-KOmdg8-slNwLqiRtj14d-5Wxd29-vvqUjPtEoNXKzXSE5dvWetLjQ9j7PhWD7cH2XsTNi6T2yP40hyKddxKOcJiFEc5sr5j7SmX_9RLHjb0XqP2CRa0.WHakhWGUT2QKpTJaoKLYTYoDX_tcGMA4JhlPY09x9uo&dib_tag=se&keywords=welding+gloves&qid=1730649559&sr=8-84,37.0,30.0,45.0
https://www.amazon.com/Miller-Electric-Welding-Gloves-271888/dp/B01DLEXUPS/ref=sr_1_85?dib=eyJ2IjoiMSJ9.Wr8hBnBJQQoDhVw4a1OFkgM8R0o_s4-vhiF73V2EF13nGAr5e7fWrbKqysdbiPlelFN9khsegFyLnTf_PCTxVARHmwXmmQ9HGql2WlEER0_aNq70BP09eoTaOHSiCw1t_l5wL599Jux6cBX3yIGTwTt6CXucfHeE5jJ2xvPwY0DEDPWCtDE7XvT-KOmdg8-slNwLqiRtj14d-5Wxd29-vvqUjPtEoNXKzXSE5dvWetLjQ9j7PhWD7cH2XsTNi6T2yP40hyKddxKOcJiFEc5sr5j7SmX_9RLHjb0XqP2CRa0.WHakhWGUT2QKpTJaoKLYTYoDX_tcGMA4JhlPY09x9uo&dib_tag=se&keywords=welding+gloves&qid=1730649559&sr=8-85,42.0,46.0,46.0
https://www.amazon.com/Tillman-Gold-Premium-Welding-Gloves-L/dp/B012OOMDUY/ref=sr_1_89?dib=eyJ2IjoiMSJ9.Wr8hBnBJQQoDhVw4a1OFkgM8R0o_s4-vhiF73V2EF13nGAr5e7fWrbKqysdbiPlelFN9khsegFyLnTf_PCTxVARHmwXmmQ9HGql2WlEER0_aNq70BP09eoTaOHSiCw1t_l5wL599Jux6cBX3yIGTwTt6CXucfHeE5jJ2xvPwY0DEDPWCtDE7XvT-KOmdg8-slNwLqiRtj14d-5Wxd29-vvqUjPtEoNXKzXSE5dvWetLjQ9j7PhWD7cH2XsTNi6T2yP40hyKddxKOcJiFEc5sr5j7SmX_9RLHjb0XqP2CRa0.WHakhWGUT2QKpTJaoKLYTYoDX_tcGMA4JhlPY09x9uo&dib_tag=se&keywords=welding+gloves&qid=1730649559&sr=8-89,43.0,30.0,49.0
https://www.amazon.com/Miller-Electric-Welding-X-Large-263334/dp/B00JFFFBDW/ref=sr_1_136?dib=eyJ2IjoiMSJ9.xUPT_k2CAYWAZrCx2woEz0_HlttKDo1NIvr-Qq5zItAlVLl25Cz0GeNs0jC-3UTEAVmIbFWvHJ0YgMcBcATKw8OKXcNHnmZ2f4-pIlKKoFG_pu513my3dytB8_KJh1-x2MKbT5G09ymQ_YLcV6ZwxB3EwNNSfO8Xco33D__DF-wYsmRrDIU-o9XUSL6S8WxkE_tBMtlVjFoeHVOhr9pLVahqvnHqieLVmprmQ3lzD0606xlV6E-p0GrZTb--JjDdbBYI8H2vedQJja7cof4miAIHCNo1dP2lIS9c17FUwJ8.FW5PNF3oNZRVdCFkHyPoWec5cz_McVAp3WERIxdUK0U&dib_tag=se&keywords=welding+gloves&qid=1730649563&sr=8-136,44.0,38.0,60.0
https://www.amazon.com/reinforced-Stitched-fingers-2X-Large-1Application/dp/B008BJEVH0/ref=sr_1_226?dib=eyJ2IjoiMSJ9.FcaEP30A9RQ0wrmPPLkRm-ngSensU1iJeVGHErbhHgRhNPu-pDDdQlJXeN4jlb_Lff71YPWV_TmKzJFMuh9LgGvBQXBf33oXzEON4gsdmZbziB4AR-QddkKjNlV0dAlJmzUGerRxJo2sqmlXvhQhbk_qerGlYohiYUis_qSzPcBA83wWQIuxJ_DpjY0BHeEll8OdzTudxLX6VcsVVCb5C_MLc0JF73dac4JXWKIvW-qODiXHtqRO3hcp64nP3wMuM09zzmwNrLvEv1_knpSLa8pk3Y8dw-c2n3tIqieB8sI.N4rIazanIGNhTEzwO-H1UDZGP-jDIpeqLlSbmlvL78k&dib_tag=se&keywords=welding+gloves&qid=1730649571&sr=8-226,22.0,17.0,21.0
https://www.amazon.com/Premium-Welding-Gloves-Large-Pair/dp/B00BHJ8AFU/ref=sr_1_231?dib=eyJ2IjoiMSJ9.FcaEP30A9RQ0wrmPPLkRm-ngSensU1iJeVGHErbhHgRhNPu-pDDdQlJXeN4jlb_Lff71YPWV_TmKzJFMuh9LgGvBQXBf33oXzEON4gsdmZbziB4AR-QddkKjNlV0dAlJmzUGerRxJo2sqmlXvhQhbk_qerGlYohiYUis_qSzPcBA83wWQIuxJ_DpjY0BHeEll8OdzTudxLX6VcsVVCb5C_MLc0JF73dac4JXWKIvW-qODiXHtqRO3hcp64nP3wMuM09zzmwNrLvEv1_knpSLa8pk3Y8dw-c2n3tIqieB8sI.N4rIazanIGNhTEzwO-H1UDZGP-jDIpeqLlSbmlvL78k&dib_tag=se&keywords=welding+gloves&qid=1730649571&sr=8-231,19.0,19.0,32.0
https://www.amazon.com/Tillman-Kidskin-Welding-Gloves-Medium/dp/B003TMVPI2/ref=sr_1_234?dib=eyJ2IjoiMSJ9.FcaEP30A9RQ0wrmPPLkRm-ngSensU1iJeVGHErbhHgRhNPu-pDDdQlJXeN4jlb_Lff71YPWV_TmKzJFMuh9LgGvBQXBf33oXzEON4gsdmZbziB4AR-QddkKjNlV0dAlJmzUGerRxJo2sqmlXvhQhbk_qerGlYohiYUis_qSzPcBA83wWQIuxJ_DpjY0BHeEll8OdzTudxLX6VcsVVCb5C_MLc0JF73dac4JXWKIvW-qODiXHtqRO3hcp64nP3wMuM09zzmwNrLvEv1_knpSLa8pk3Y8dw-c2n3tIqieB8sI.N4rIazanIGNhTEzwO-H1UDZGP-jDIpeqLlSbmlvL78k&dib_tag=se&keywords=welding+gloves&qid=1730649571&sr=8-234,33.0,24.0,41.0
